date_key,from_currency_code,to_currency_code,exchange_rate
20190101,AED,USD,3.6725
20190102,AED,USD,3.6725
20190103,AED,USD,3.6725
20190104,AED,USD,3.6725
20190105,AED,USD,3.6725
20190106,AED,USD,3.6725
20190107,AED,USD,3.6725
20190108,AED,USD,3.6725
20190109,AED,USD,3.6725
20190110,AED,USD,3.6725
20190111,AED,USD,3.6725
20190112,AED,USD,3.6725
20190113,AED,USD,3.6725
20190114,AED,USD,3.6725
20190115,AED,USD,3.6725
20190116,AED,USD,3.6725
20190117,AED,USD,3.6725
20190118,AED,USD,3.6725
20190119,AED,USD,3.6725
20190120,AED,USD,3.6725
20190121,AED,USD,3.6725
20190122,AED,USD,3.6725
20190123,AED,USD,3.6725
20190124,AED,USD,3.6725
20190125,AED,USD,3.6725
20190126,AED,USD,3.6725
20190127,AED,USD,3.6725
20190128,AED,USD,3.6725
20190129,AED,USD,3.6725
20190130,AED,USD,3.6725
20190131,AED,USD,3.6725
20190201,AED,USD,3.6725
20190202,AED,USD,3.6725
20190203,AED,USD,3.6725
20190204,AED,USD,3.6725
20190205,AED,USD,3.6725
20190206,AED,USD,3.6725
20190207,AED,USD,3.6725
20190208,AED,USD,3.6725
20190209,AED,USD,3.6725
20190210,AED,USD,3.6725
20190211,AED,USD,3.6725
20190212,AED,USD,3.6725
20190213,AED,USD,3.6725
20190214,AED,USD,3.6725
20190215,AED,USD,3.6725
20190216,AED,USD,3.6725
20190217,AED,USD,3.6725
20190218,AED,USD,3.6725
20190219,AED,USD,3.6725
20190220,AED,USD,3.6725
20190221,AED,USD,3.6725
20190222,AED,USD,3.6725
20190223,AED,USD,3.6725
20190224,AED,USD,3.6725
20190225,AED,USD,3.6725
20190226,AED,USD,3.6725
20190227,AED,USD,3.6725
20190228,AED,USD,3.6725
20190301,AED,USD,3.6725
20190302,AED,USD,3.6725
20190303,AED,USD,3.6725
20190304,AED,USD,3.6725
20190305,AED,USD,3.6725
20190306,AED,USD,3.6725
20190307,AED,USD,3.6725
20190308,AED,USD,3.6725
20190309,AED,USD,3.6725
20190310,AED,USD,3.6725
20190311,AED,USD,3.6725
20190312,AED,USD,3.6725
20190313,AED,USD,3.6725
20190314,AED,USD,3.6725
20190315,AED,USD,3.6725
20190316,AED,USD,3.6725
20190317,AED,USD,3.6725
20190318,AED,USD,3.6725
20190319,AED,USD,3.6725
20190320,AED,USD,3.6725
20190321,AED,USD,3.6725
20190322,AED,USD,3.6725
20190323,AED,USD,3.6725
20190324,AED,USD,3.6725
20190325,AED,USD,3.6725
20190326,AED,USD,3.6725
20190327,AED,USD,3.6725
20190328,AED,USD,3.6725
20190329,AED,USD,3.6725
20190330,AED,USD,3.6725
20190331,AED,USD,3.6725
20190401,AED,USD,3.6725
20190402,AED,USD,3.6725
20190403,AED,USD,3.6725
20190404,AED,USD,3.6725
20190405,AED,USD,3.6725
20190406,AED,USD,3.6725
20190407,AED,USD,3.6725
20190408,AED,USD,3.6725
20190409,AED,USD,3.6725
20190410,AED,USD,3.6725
20190411,AED,USD,3.6725
20190412,AED,USD,3.6725
20190413,AED,USD,3.6725
20190414,AED,USD,3.6725
20190415,AED,USD,3.6725
20190416,AED,USD,3.6725
20190417,AED,USD,3.6725
20190418,AED,USD,3.6725
20190419,AED,USD,3.6725
20190420,AED,USD,3.6725
20190421,AED,USD,3.6725
20190422,AED,USD,3.6725
20190423,AED,USD,3.6725
20190424,AED,USD,3.6725
20190425,AED,USD,3.6725
20190426,AED,USD,3.6725
20190427,AED,USD,3.6725
20190428,AED,USD,3.6725
20190429,AED,USD,3.6725
20190430,AED,USD,3.6725
20190501,AED,USD,3.6725
20190502,AED,USD,3.6725
20190503,AED,USD,3.6725
20190504,AED,USD,3.6725
20190505,AED,USD,3.6725
20190506,AED,USD,3.6725
20190507,AED,USD,3.6725
20190508,AED,USD,3.6725
20190509,AED,USD,3.6725
20190510,AED,USD,3.6725
20190511,AED,USD,3.6725
20190512,AED,USD,3.6725
20190513,AED,USD,3.6725
20190514,AED,USD,3.6725
20190515,AED,USD,3.6725
20190516,AED,USD,3.6725
20190517,AED,USD,3.6725
20190518,AED,USD,3.6725
20190519,AED,USD,3.6725
20190520,AED,USD,3.6725
20190521,AED,USD,3.6725
20190522,AED,USD,3.6725
20190523,AED,USD,3.6725
20190524,AED,USD,3.6725
20190525,AED,USD,3.6725
20190526,AED,USD,3.6725
20190527,AED,USD,3.6725
20190528,AED,USD,3.6725
20190529,AED,USD,3.6725
20190530,AED,USD,3.6725
20190531,AED,USD,3.6725
20190601,AED,USD,3.6725
20190602,AED,USD,3.6725
20190603,AED,USD,3.6725
20190604,AED,USD,3.6725
20190605,AED,USD,3.6725
20190606,AED,USD,3.6725
20190607,AED,USD,3.6725
20190608,AED,USD,3.6725
20190609,AED,USD,3.6725
20190610,AED,USD,3.6725
20190611,AED,USD,3.6725
20190612,AED,USD,3.6725
20190613,AED,USD,3.6725
20190614,AED,USD,3.6725
20190615,AED,USD,3.6725
20190616,AED,USD,3.6725
20190617,AED,USD,3.6725
20190618,AED,USD,3.6725
20190619,AED,USD,3.6725
20190620,AED,USD,3.6725
20190621,AED,USD,3.6725
20190622,AED,USD,3.6725
20190623,AED,USD,3.6725
20190624,AED,USD,3.6725
20190625,AED,USD,3.6725
20190626,AED,USD,3.6725
20190627,AED,USD,3.6725
20190628,AED,USD,3.6725
20190629,AED,USD,3.6725
20190630,AED,USD,3.6725
20190701,AED,USD,3.6725
20190702,AED,USD,3.6725
20190703,AED,USD,3.6725
20190704,AED,USD,3.6725
20190705,AED,USD,3.6725
20190706,AED,USD,3.6725
20190707,AED,USD,3.6725
20190708,AED,USD,3.6725
20190709,AED,USD,3.6725
20190710,AED,USD,3.6725
20190711,AED,USD,3.6725
20190712,AED,USD,3.6725
20190713,AED,USD,3.6725
20190714,AED,USD,3.6725
20190715,AED,USD,3.6725
20190716,AED,USD,3.6725
20190717,AED,USD,3.6725
20190718,AED,USD,3.6725
20190719,AED,USD,3.6725
20190720,AED,USD,3.6725
20190721,AED,USD,3.6725
20190722,AED,USD,3.6725
20190723,AED,USD,3.6725
20190724,AED,USD,3.6725
20190725,AED,USD,3.6725
20190726,AED,USD,3.6725
20190727,AED,USD,3.6725
20190728,AED,USD,3.6725
20190729,AED,USD,3.6725
20190730,AED,USD,3.6725
20190731,AED,USD,3.6725
20190801,AED,USD,3.6725
20190802,AED,USD,3.6725
20190803,AED,USD,3.6725
20190804,AED,USD,3.6725
20190805,AED,USD,3.6725
20190806,AED,USD,3.6725
20190807,AED,USD,3.6725
20190808,AED,USD,3.6725
20190809,AED,USD,3.6725
20190810,AED,USD,3.6725
20190811,AED,USD,3.6725
20190812,AED,USD,3.6725
20190813,AED,USD,3.6725
20190814,AED,USD,3.6725
20190815,AED,USD,3.6725
20190816,AED,USD,3.6725
20190817,AED,USD,3.6725
20190818,AED,USD,3.6725
20190819,AED,USD,3.6725
20190820,AED,USD,3.6725
20190821,AED,USD,3.6725
20190822,AED,USD,3.6725
20190823,AED,USD,3.6725
20190824,AED,USD,3.6725
20190825,AED,USD,3.6725
20190826,AED,USD,3.6725
20190827,AED,USD,3.6725
20190828,AED,USD,3.6725
20190829,AED,USD,3.6725
20190830,AED,USD,3.6725
